OID_,ID,hydr_prcnt,drai_prcnt,bedr_prcnt,dens_prcnt,ston_prcnt,TreeMortal
94,99,4,0,0,100,4,5
182,195,6,0,0,100,6,5
223,238,38,0,0,91,38,1
316,335,0,0,0,100,0,6
376,396,42,0,0,100,100,1
399,419,0,0,0,0,0,2
518,542,0,0,0,0,0,3
556,582,0,0,0,0,100,2
622,651,0,0,0,1,99,2
932,965,0,96,96,0,0,4
948,981,0,0,0,0,0,5
983,1016,17,28,0,17,17,3
1029,1062,0,0,0,0,0,5
1077,1111,0,24,76,0,0,1
1214,1252,17,4,0,0,0,3
1232,1270,0,0,0,0,100,4
1241,1280,0,0,0,100,0,5
1392,1434,0,0,0,0,100,1
1459,1506,0,0,0,0,100,4
1484,1531,0,0,0,0,0,3
1530,1577,0,0,0,100,0,3
1537,1584,0,0,0,0,0,3
1548,1595,0,0,0,0,0,5
1686,1734,0,0,32,0,100,2
1800,1851,0,0,0,0,0,4
2104,2165,0,0,17,55,0,5
2137,2198,0,0,100,0,0,1
2147,2209,0,0,0,11,0,3
2239,2302,0,100,0,0,0,3
2299,2366,17,0,0,17,17,2
2397,2467,3,0,0,3,3,4
2455,2525,0,1,0,0,0,2
2459,2530,0,100,0,0,0,2
2573,2648,37,0,11,51,47,5
2754,2830,0,0,0,0,100,1
2796,2872,81,0,0,81,81,1
2901,2979,0,0,0,0,0,4
2976,3055,0,0,0,0,100,3
3022,3103,59,0,0,59,59,2
3084,3167,18,0,0,19,19,3
3185,3272,0,0,0,100,100,1
3194,3282,21,0,0,100,20,4
3251,3341,25,0,0,69,24,1
3262,3352,21,0,0,100,21,3
3388,3484,0,0,8,0,0,2
3414,3510,0,0,0,100,0,5
3419,3515,0,0,0,0,0,4
3427,3523,0,0,7,0,0,1
3452,3549,0,0,0,100,0,1
3592,3689,0,39,0,0,0,1
3602,3700,1,49,0,0,0,1
3650,3749,50,0,0,49,83,4
3839,3943,15,33,0,0,0,1
3882,3987,0,0,14,0,1,3
3909,4015,7,0,0,6,6,1
4085,4192,0,100,0,0,0,1
4143,4252,22,0,0,22,22,1
4144,4253,7,0,0,0,0,3
4235,4344,0,0,0,0,100,3
4304,4413,32,0,0,32,32,2
4378,4490,0,0,33,0,33,2
4489,4604,1,0,0,0,0,4
4505,4620,0,16,0,0,0,5
4824,4949,0,2,98,0,98,4
4870,4998,25,40,0,0,0,1
4891,5019,0,0,100,0,100,1
4958,5089,0,21,0,0,0,2
4960,5091,8,0,0,100,9,2
5144,5278,0,0,0,0,100,2
5158,5292,0,0,0,0,0,3
5168,5302,56,0,44,56,56,1
5217,5352,2,0,0,2,100,3
5457,5601,7,0,0,6,6,5
5511,5657,100,0,0,100,100,2
